"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_LLGMED_AMP_ADRENALIN_DESC","<color rgba='222,226,230,255'>ADRENALINE (EPINEPHRINE) 1 MG/ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO FIGHT SHOCK AND RESTORE ALERTNESS.<br/><color rgba='240,173,78,255'>CAUTION: Raises heart rate sharply. Emergency use only.</color>","<color rgba='222,226,230,255'>ADRENALINE (EPINEPHRINE) 1 MG/ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO FIGHT SHOCK AND RESTORE ALERTNESS.<br/><color rgba='240,173,78,255'>CAUTION: Raises heart rate sharply. Emergency use only.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_METRALINDOLE_DESC","<color rgba='222,226,230,255'>METRALINDOLE 25 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO STEADY MOOD AND NERVES.<br/><color rgba='150,155,160,255'>NOTE: Mild sedation. Very low overdose risk.</color>","<color rgba='222,226,230,255'>METRALINDOLE 25 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT TO STEADY MOOD AND NERVES.<br/><color rgba='150,155,160,255'>NOTE: Mild sedation. Very low overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ACTAPAROXETINE_DESC","<color rgba='222,226,230,255'>ACTAPAROXETINE 40 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE ANXIETY AND PANIC.<br/><color rgba='240,173,78,255'>CAUTION: May cause drowsiness for several minutes.</color>","<color rgba='222,226,230,255'>ACTAPAROXETINE 40 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR SEVERE ANXIETY AND PANIC.<br/><color rgba='240,173,78,255'>CAUTION: May cause drowsiness for several minutes.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_AMITRIPTYLINE_DESC","<color rgba='222,226,230,255'>AMITRIPTYLINE 50 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR A SEVERE MENTAL BREAKDOWN.<br/><color rgba='240,173,78,255'>WARNING: Heavy sedation. Do not drive after use.</color>","<color rgba='222,226,230,255'>AMITRIPTYLINE 50 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR A SEVERE MENTAL BREAKDOWN.<br/><color rgba='240,173,78,255'>WARNING: Heavy sedation. Do not drive after use.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_VAXICAM_DESC","<color rgba='222,226,230,255'>VAXICAM INFLUENZA VACCINE 0.5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT COLD AND PNEUMONIA.<br/><color rgba='240,173,78,255'>WARNING: Preventive only. Does nothing once ill.</color>","<color rgba='222,226,230,255'>VAXICAM INFLUENZA VACCINE 0.5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT COLD AND PNEUMONIA.<br/><color rgba='240,173,78,255'>WARNING: Preventive only. Does nothing once ill.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ZERIVAX_DESC","<color rgba='222,226,230,255'>ZERIVAX Z-VIRUS VACCINE 0.5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>WARNING: Preventive only. Severe reaction risk.</color>","<color rgba='222,226,230,255'>ZERIVAX Z-VIRUS VACCINE 0.5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>WARNING: Preventive only. Severe reaction risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_RABIVAX_DESC","<color rgba='222,226,230,255'>RABIVAX RABIES VACCINE 1 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT RABIES.<br/><color rgba='217,83,79,255'>WARNING: Preventive only. Useless once symptoms begin.</color>","<color rgba='222,226,230,255'>RABIVAX RABIES VACCINE 1 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT BEFORE EXPOSURE TO PREVENT RABIES.<br/><color rgba='217,83,79,255'>WARNING: Preventive only. Useless once symptoms begin.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_RABINOLINE_DESC","<color rgba='222,226,230,255'>RABINOLINE ANTISERUM 5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER AN ANIMAL BITE TO TREAT RABIES.<br/><color rgba='240,173,78,255'>WARNING: Give early. Serum reaction possible.</color>","<color rgba='222,226,230,255'>RABINOLINE ANTISERUM 5 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER AN ANIMAL BITE TO TREAT RABIES.<br/><color rgba='240,173,78,255'>WARNING: Give early. Serum reaction possible.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_RIFAMPICYNE_DESC","<color rgba='222,226,230,255'>RIFAMPICIN 600 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR ADVANCED RABIES.<br/><color rgba='217,83,79,255'>WARNING: Maximum strength. Very high overdose risk.</color>","<color rgba='222,226,230,255'>RIFAMPICIN 600 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT FOR ADVANCED RABIES.<br/><color rgba='217,83,79,255'>WARNING: Maximum strength. Very high overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ZIVIROL_DESC","<color rgba='222,226,230,255'>ZIVIROL Z-ANTIDOTE 10 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT IMMEDIATELY AFTER Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>DANGER: Costs blood and health. One dose only.</color>","<color rgba='222,226,230,255'>ZIVIROL Z-ANTIDOTE 10 ML · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT IMMEDIATELY AFTER Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>DANGER: Costs blood and health. One dose only.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_NEIROCETAL_DESC","<color rgba='222,226,230,255'>NEIROCETAL 200 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER BREATHING TOXIC OR CHEMICAL AGENTS.<br/><color rgba='217,83,79,255'>WARNING: Narrow safety margin. One dose only.</color>","<color rgba='222,226,230,255'>NEIROCETAL 200 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER BREATHING TOXIC OR CHEMICAL AGENTS.<br/><color rgba='217,83,79,255'>WARNING: Narrow safety margin. One dose only.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_PENTACIN_DESC","<color rgba='222,226,230,255'>PENTACIN (CA-DTPA) 250 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER HEAVY RADIOACTIVE CONTAMINATION.<br/><color rgba='240,173,78,255'>WARNING: Strips minerals from the body. Limit doses.</color>","<color rgba='222,226,230,255'>PENTACIN (CA-DTPA) 250 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER HEAVY RADIOACTIVE CONTAMINATION.<br/><color rgba='240,173,78,255'>WARNING: Strips minerals from the body. Limit doses.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_CARBOXYME_DESC","<color rgba='222,226,230,255'>CARBOXYME 300 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER PROLONGED RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>WARNING: Long acting. Limit repeat doses.</color>","<color rgba='222,226,230,255'>CARBOXYME 300 MG · INJECTION AMPOULE · RX ONLY</color><br/>DRAW WITH A STERILE SYRINGE AND INJECT AFTER PROLONGED RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>WARNING: Long acting. Limit repeat doses.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_BELADONNA_DESC","<color rgba='222,226,230,255'>BELLADONNA EXTRACT 1 ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes delirium and collapse.</color>","<color rgba='222,226,230,255'>BELLADONNA EXTRACT 1 ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes delirium and collapse.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_STRYCHNINE_DESC","<color rgba='222,226,230,255'>STRYCHNINE 5 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes violent convulsions.</color>","<color rgba='222,226,230,255'>STRYCHNINE 5 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes violent convulsions.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_KONYIN_DESC","<color rgba='222,226,230,255'>KONYIN (CONIINE) 2 ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes paralysis and unconsciousness.</color>","<color rgba='222,226,230,255'>KONYIN (CONIINE) 2 ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Causes paralysis and unconsciousness.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_ARSENIC_DESC","<color rgba='222,226,230,255'>ARSENIC TRIOXIDE 10 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Fatal multi-organ failure.</color>","<color rgba='222,226,230,255'>ARSENIC TRIOXIDE 10 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Fatal multi-organ failure.</color>","","","","","","","","","","","","",
"STR_LLGMED_AMP_POTASSIUMCYANIDE_DESC","<color rgba='222,226,230,255'>POTASSIUM CYANIDE 300 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Death follows within seconds.</color>","<color rgba='222,226,230,255'>POTASSIUM CYANIDE 300 MG/ML · INJECTION AMPOULE · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT INJECT.<br/><color rgba='217,83,79,255'>DANGER: Poison. Death follows within seconds.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_PROMIDOL_DESC","<color rgba='222,226,230,255'>PROMIDOL 40 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>CAUTION: Strong opioid. Habit forming.</color>","<color rgba='222,226,230,255'>PROMIDOL 40 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>CAUTION: Strong opioid. Habit forming.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_PROPITAL_DESC","<color rgba='222,226,230,255'>PROPITAL 100 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR PAIN AND RAPID WOUND RECOVERY.<br/><color rgba='240,173,78,255'>WARNING: Combat stimulant. Habit forming.</color>","<color rgba='222,226,230,255'>PROPITAL 100 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR PAIN AND RAPID WOUND RECOVERY.<br/><color rgba='240,173,78,255'>WARNING: Combat stimulant. Habit forming.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_REANIMATAL_DESC","<color rgba='222,226,230,255'>REANIMATAL 200 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REVIVE A COLLAPSING CASUALTY.<br/><color rgba='217,83,79,255'>WARNING: Buys minutes only. Very high overdose risk.</color>","<color rgba='222,226,230,255'>REANIMATAL 200 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REVIVE A COLLAPSING CASUALTY.<br/><color rgba='217,83,79,255'>WARNING: Buys minutes only. Very high overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_AMOXICLAV_DESC","<color rgba='222,226,230,255'>AMOXICILLIN / CLAVULANATE 1.2 G · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Longest-acting antibiotic carried. Do not stack.</color>","<color rgba='222,226,230,255'>AMOXICILLIN / CLAVULANATE 1.2 G · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Longest-acting antibiotic carried. Do not stack.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_TOPOIZOMERAZA_DESC","<color rgba='222,226,230,255'>TOPOISOMERASE 400 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Broad spectrum. Reserve for sepsis.</color>","<color rgba='222,226,230,255'>TOPOISOMERASE 400 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE INFECTION AND SEPSIS.<br/><color rgba='240,173,78,255'>WARNING: Broad spectrum. Reserve for sepsis.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_NEIROX_DESC","<color rgba='222,226,230,255'>NEIROX 250 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR CONCUSSION AND HEAD INJURY.<br/><color rgba='240,173,78,255'>CAUTION: Cerebral stimulant. May cause jitters.</color>","<color rgba='222,226,230,255'>NEIROX 250 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR CONCUSSION AND HEAD INJURY.<br/><color rgba='240,173,78,255'>CAUTION: Cerebral stimulant. May cause jitters.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_ERYTROMIXELIN_DESC","<color rgba='222,226,230,255'>ERYTROMIXELIN 5 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO STOP HEAVY BLEEDING AND REBUILD BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: Does not replace a bandage or tourniquet.</color>","<color rgba='222,226,230,255'>ERYTROMIXELIN 5 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO STOP HEAVY BLEEDING AND REBUILD BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: Does not replace a bandage or tourniquet.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_ERYTHROPOIETIN_DESC","<color rgba='222,226,230,255'>ERYTHROPOIETIN 4000 IU · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REBUILD BLOOD OVER TIME.<br/><color rgba='240,173,78,255'>CAUTION: Slow acting. Thickens the blood if overused.</color>","<color rgba='222,226,230,255'>ERYTHROPOIETIN 4000 IU · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REBUILD BLOOD OVER TIME.<br/><color rgba='240,173,78,255'>CAUTION: Slow acting. Thickens the blood if overused.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_STOMAPROXIDAL_DESC","<color rgba='222,226,230,255'>STOMAPROXIDAL 250 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE POISONING AND VOMITING.<br/><color rgba='240,173,78,255'>WARNING: Maximum strength. One dose per incident.</color>","<color rgba='222,226,230,255'>STOMAPROXIDAL 250 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE POISONING AND VOMITING.<br/><color rgba='240,173,78,255'>WARNING: Maximum strength. One dose per incident.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_RABINUCOLINE_DESC","<color rgba='222,226,230,255'>RABINUCOLINE ANTISERUM 5 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH AFTER AN ANIMAL BITE TO TREAT RABIES.<br/><color rgba='217,83,79,255'>WARNING: Maximum strength. Very high overdose risk.</color>","<color rgba='222,226,230,255'>RABINUCOLINE ANTISERUM 5 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH AFTER AN ANIMAL BITE TO TREAT RABIES.<br/><color rgba='217,83,79,255'>WARNING: Maximum strength. Very high overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_AMFITALICYNE_DESC","<color rgba='222,226,230,255'>AMFITALICYNE 60 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR A SEVERE MENTAL BREAKDOWN.<br/><color rgba='240,173,78,255'>WARNING: Psychotropic. Heavy sedation possible.</color>","<color rgba='222,226,230,255'>AMFITALICYNE 60 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR A SEVERE MENTAL BREAKDOWN.<br/><color rgba='240,173,78,255'>WARNING: Psychotropic. Heavy sedation possible.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_ZIVIROL_DESC","<color rgba='222,226,230,255'>ZIVIROL Z-ANTIDOTE 10 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH IMMEDIATELY AFTER Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>DANGER: Costs blood and health. One dose only.</color>","<color rgba='222,226,230,255'>ZIVIROL Z-ANTIDOTE 10 ML · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH IMMEDIATELY AFTER Z-VIRUS INFECTION.<br/><color rgba='217,83,79,255'>DANGER: Costs blood and health. One dose only.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_NOVICHEK_DESC","<color rgba='222,226,230,255'>NOVICHEK NERVE AGENT · SINGLE-USE AUTO-INJECTOR · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT USE.<br/><color rgba='217,83,79,255'>DANGER: Military nerve agent. Exposure is fatal.</color>","<color rgba='222,226,230,255'>NOVICHEK NERVE AGENT · SINGLE-USE AUTO-INJECTOR · CONTROLLED POISON</color><br/>NOT A MEDICINE. DO NOT USE.<br/><color rgba='217,83,79,255'>DANGER: Military nerve agent. Exposure is fatal.</color>","","","","","","","","","","","","",
"STR_LLGMED_MORPHINE_DESC","<color rgba='222,226,230,255'>MORPHINE 10 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>WARNING: Slows breathing. Habit forming.</color>","<color rgba='222,226,230,255'>MORPHINE 10 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH FOR SEVERE PAIN.<br/><color rgba='240,173,78,255'>WARNING: Slows breathing. Habit forming.</color>","","","","","","","","","","","","",
"STR_LLGMED_EPINEPHRINE_DESC","<color rgba='222,226,230,255'>EPINEPHRINE 0.3 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REVERSE SHOCK AND RESTORE ALERTNESS.<br/><color rgba='240,173,78,255'>WARNING: Raises heart rate sharply. One dose per episode.</color>","<color rgba='222,226,230,255'>EPINEPHRINE 0.3 MG · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH TO REVERSE SHOCK AND RESTORE ALERTNESS.<br/><color rgba='240,173,78,255'>WARNING: Raises heart rate sharply. One dose per episode.</color>","","","","","","","","","","","","",
"STR_LLGMED_ANTICHEMINJECTOR_DESC","<color rgba='222,226,230,255'>NBC ANTIDOTE (ATROPINE / PRALIDOXIME) · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH IMMEDIATELY AFTER CHEMICAL OR NERVE AGENT EXPOSURE.<br/><color rgba='217,83,79,255'>WARNING: Military issue. Very high overdose risk.</color>","<color rgba='222,226,230,255'>NBC ANTIDOTE (ATROPINE / PRALIDOXIME) · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH IMMEDIATELY AFTER CHEMICAL OR NERVE AGENT EXPOSURE.<br/><color rgba='217,83,79,255'>WARNING: Military issue. Very high overdose risk.</color>","","","","","","","","","","","","",
"STR_LLGMED_INJ_ANTIRAD_DESC","<color rgba='222,226,230,255'>ANTI-RADIATION AGENT · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH AFTER RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>CAUTION: One dose per exposure. Not a cure for burns.</color>","<color rgba='222,226,230,255'>ANTI-RADIATION AGENT · SINGLE-USE AUTO-INJECTOR · RX ONLY</color><br/>PRESS FIRMLY AGAINST THE OUTER THIGH AFTER RADIATION EXPOSURE.<br/><color rgba='240,173,78,255'>CAUTION: One dose per exposure. Not a cure for burns.</color>","","","","","","","","","","","","",
"STR_LLGMED_SALVE_VIPROSAL_DESC","<color rgba='222,226,230,255'>VIPROSAL (CAMPHOR / TURPENTINE) 30 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A THIN LAYER TO BRUISING AND RUB IN GENTLY.<br/><color rgba='150,155,160,255'>External use only. Longest acting of the three.</color>","<color rgba='222,226,230,255'>VIPROSAL (CAMPHOR / TURPENTINE) 30 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A THIN LAYER TO BRUISING AND RUB IN GENTLY.<br/><color rgba='150,155,160,255'>External use only. Longest acting of the three.</color>","","","","","","","","","","","","",
"STR_LLGMED_SALVE_CAPSICUM_DESC","<color rgba='222,226,230,255'>CAPSICUM OINTMENT 30 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A THIN LAYER TO BRUISING.<br/><color rgba='150,155,160,255'>External use only. Burns on broken skin.</color>","<color rgba='222,226,230,255'>CAPSICUM OINTMENT 30 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A THIN LAYER TO BRUISING.<br/><color rgba='150,155,160,255'>External use only. Burns on broken skin.</color>","","","","","","","","","","","","",
"STR_LLGMED_SALVE_FINALGON_DESC","<color rgba='222,226,230,255'>FINALGON (NONIVAMIDE) 20 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A SMALL AMOUNT TO BRUISING.<br/><color rgba='150,155,160,255'>External use only. Fast, short acting, strong burn.</color>","<color rgba='222,226,230,255'>FINALGON (NONIVAMIDE) 20 G · TOPICAL OINTMENT, TUBE</color><br/>APPLY A SMALL AMOUNT TO BRUISING.<br/><color rgba='150,155,160,255'>External use only. Fast, short acting, strong burn.</color>","","","","","","","","","","","","",
"STR_LLGMED_DRINK_YAGUAR_DESC","<color rgba='222,226,230,255'>YAGUAR ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION. STRONGEST FORMULA STOCKED.<br/><color rgba='150,155,160,255'>NOTE: Very high caffeine. Not a substitute for sleep.</color>","<color rgba='222,226,230,255'>YAGUAR ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION. STRONGEST FORMULA STOCKED.<br/><color rgba='150,155,160,255'>NOTE: Very high caffeine. Not a substitute for sleep.</color>","","","","","","","","","","","","",
"STR_LLGMED_DRINK_MADBULL_DESC","<color rgba='222,226,230,255'>MADBULL ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION AND STAY AWAKE.<br/><color rgba='150,155,160,255'>NOTE: High caffeine. Not a substitute for sleep.</color>","<color rgba='222,226,230,255'>MADBULL ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION AND STAY AWAKE.<br/><color rgba='150,155,160,255'>NOTE: High caffeine. Not a substitute for sleep.</color>","","","","","","","","","","","","",
"STR_LLGMED_DRINK_6ENERGY_DESC","<color rgba='222,226,230,255'>6ENERGY ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION AND STAY AWAKE.<br/><color rgba='150,155,160,255'>NOTE: High caffeine. Not a substitute for sleep.</color>","<color rgba='222,226,230,255'>6ENERGY ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION AND STAY AWAKE.<br/><color rgba='150,155,160,255'>NOTE: High caffeine. Not a substitute for sleep.</color>","","","","","","","","","","","","",
"STR_LLGMED_DRINK_GANG_DESC","<color rgba='222,226,230,255'>GANG ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION.<br/><color rgba='150,155,160,255'>NOTE: Moderate caffeine. Not a substitute for sleep.</color>","<color rgba='222,226,230,255'>GANG ENERGY DRINK · 500 ML CAN</color><br/>DRINK TO FIGHT EXHAUSTION.<br/><color rgba='150,155,160,255'>NOTE: Moderate caffeine. Not a substitute for sleep.</color>","","","","","","","","","","","","",
